"Carimbo de data/hora","Qual é o seu gênero?","Qual é a sua cor ou raça/etnia?","Qual é a sua faixa etária?","Em que estado você mora atualmente?","Qual é a sua ocupação atual?","Você aplica conhecimentos técnicos da área de Inteligência Artificial na sua atuação:","1. Existem até o momento mais dissensos do que consensos sobre quais são os principais problemas a serem enfrentados pelo campo da IA.","2. As Big Techs têm mais poder do que deveriam em definir as possibilidades e limites do campo da IA.","3. O foco atual do campo da IA na abordagem data and compute-intensive é acertado.","4. No contexto da pesquisa em IA, considerações éticas e progresso científico podem entrar em conflito.","5. Outros setores não-especialistas, como o poder público e a sociedade civil, devem ter participação nas definições éticas do campo da IA.","6. A evolução dos Large language models (LLMs) está indo em direção à AGI.","7. Os pesquisadores no campo da IA devem ter como prioridade perseguir a chamada Inteligência Artificial Geral, em inglês Artificial General Intelligence (AGI).","8. De modo geral, o desenvolvimento científico da IA terá um impacto futuro positivo no mundo.","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [1. Existem até o momento mais dissensos do que consensos sobre quais são os principais problemas a serem enfrentados pelo campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [2. As Big Techs têm mais poder do que deveriam em definir as possibilidades e limites do campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [3. O foco atual do campo da IA na abordagem data and compute-intensive é acertado.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [4. No contexto da pesquisa em IA, considerações éticas e progresso científico podem entrar em conflito.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [5. Outros setores não-especialistas, como o poder público e a sociedade civil, devem ter participação nas definições éticas do campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [6. A evolução dos Large language models (LLMs) está indo em direção à AGI.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [7. Os pesquisadores no campo da IA devem ter como prioridade perseguir a chamada Inteligência Artificial Geral, em inglês Artificial General Intelligence (AGI).]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [8. De modo geral, o desenvolvimento científico da IA terá um impacto futuro positivo no mundo.]","Por fim, gostaria de deixar algum comentário ou feedback?"
"11/10/2023 16:22:40","Masculino","Parda","41-45","SP","Professor Doutor","Com frequência","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Discordo mais do que concordo","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%",""
"11/10/2023 22:53:13","Masculino","Branca","41-45","SP","Professor Associado","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 60% até 80%",""
"11/12/2023 8:33:47","Masculino","Irrelevante","41-45","Moro no exterior","Professor","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Discordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 80%","Mais de 80%","Até 20%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%",""
"11/12/2023 19:09:58","Masculino","Branca","41-45","SP","Professor universitário","Com frequência","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%",""
"11/14/2023 8:53:54","Masculino","Branca","56-60","SP","Professor Titular","Com frequência","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%","Mais de 80%","Mais de 20% até 40%","Mais de 80%",""
"11/14/2023 12:57:21","Masculino","Branca","Acima de 60","SP","Professor","Raramente","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Até 20%","Mais de 80%","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%",""
"11/14/2023 21:32:58","Feminino","Branca","46-50","SP","Professora","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 80%",""
"11/16/2023 16:43:39","Masculino","Parda","18-25","SP","Estudante de pós-graduação","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Até 20%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 60% até 80%",""
"11/16/2023 17:52:38","Feminino","Branca","18-25","SP","Estudante Ensino Superior","Com frequência","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%",""
"11/17/2023 12:25:02","Masculino","Branca","51-55","SP","Professor","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Discordo totalmente","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Concordo totalmente","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%",""
